1000, quicksort, 1.692, micro-seconds, 1
10000, quicksort, 1.686, micro-seconds, 1
10, quicksort, 1.718, micro-seconds, 1
100, quicksort, 1.694, micro-seconds, 1
1000, quicksort, 1.742, micro-seconds, 1
10000, quicksort, 1.742, micro-seconds, 1
10, quicksort, 1.762, micro-seconds, 1
100, quicksort, 1.726, micro-seconds, 1
1000, quicksort, 1.766, micro-seconds, 1
10000, quicksort, 1.873, micro-seconds, 1
10, quicksort, 1.757, micro-seconds, 1
100, quicksort, 1.816, micro-seconds, 1
1000, quicksort, 1.739, micro-seconds, 1
10000, quicksort, 1.822, micro-seconds, 1
10, quicksort, 1.722, micro-seconds, 1
100, quicksort, 1.767, micro-seconds, 1
1000, quicksort, 1.756, micro-seconds, 1
10000, quicksort, 1.749, micro-seconds, 1
10, quicksort, 1.944, micro-seconds, 1
100, quicksort, 1.839, micro-seconds, 1
1000, quicksort, 1.853, micro-seconds, 1
10000, quicksort, 1.716, micro-seconds, 1
10, quicksort, 1.74, micro-seconds, 1
100, quicksort, 1.696, micro-seconds, 1
1000, quicksort, 1.854, micro-seconds, 1
10000, quicksort, 1.72, micro-seconds, 1
10, quicksort, 1.716, micro-seconds, 1
100, quicksort, 1.798, micro-seconds, 1
1000, quicksort, 1.782, micro-seconds, 1
10000, quicksort, 1.716, micro-seconds, 1
10, quicksort, 1.726, micro-seconds, 1
100, quicksort, 1.736, micro-seconds, 1
1000, quicksort, 1.744, micro-seconds, 1
10000, quicksort, 1.722, micro-seconds, 1
10, quicksort, 1.742, micro-seconds, 1
100, quicksort, 1.954, micro-seconds, 1
1000, quicksort, 1.73, micro-seconds, 1
10000, quicksort, 1.724, micro-seconds, 1
10, quicksort, 1.962, micro-seconds, 1
100, quicksort, 1.887, micro-seconds, 1
1000, quicksort, 1.877, micro-seconds, 1
10000, quicksort, 1.882, micro-seconds, 1
10, quicksort, 1.835, micro-seconds, 1
100, quicksort, 1.837, micro-seconds, 1
1000, quicksort, 1.731, micro-seconds, 1
10000, quicksort, 1.734, micro-seconds, 1
10, quicksort, 1.734, micro-seconds, 1
100, quicksort, 1.73, micro-seconds, 1
1000, quicksort, 1.718, micro-seconds, 1
10000, quicksort, 1.734, micro-seconds, 1
10, quicksort, 1.722, micro-seconds, 1
100, quicksort, 1.741, micro-seconds, 1
1000, quicksort, 1.733, micro-seconds, 1
10000, quicksort, 1.738, micro-seconds, 1
10, quicksort, 1.786, micro-seconds, 1
100, quicksort, 1.772, micro-seconds, 1
1000, quicksort, 1.846, micro-seconds, 1
10000, quicksort, 1.732, micro-seconds, 1
10, quicksort, 1.718, micro-seconds, 1
100, quicksort, 1.798, micro-seconds, 1
1000, quicksort, 1.716, micro-seconds, 1
10000, quicksort, 1.721, micro-seconds, 1
10, quicksort, 1.715, micro-seconds, 1
100, quicksort, 1.72, micro-seconds, 1
1000, quicksort, 1.738, micro-seconds, 1
10000, quicksort, 1.726, micro-seconds, 1
10, quicksort, 1.762, micro-seconds, 1
100, quicksort, 1.768, micro-seconds, 1
1000, quicksort, 1.732, micro-seconds, 1
10000, quicksort, 1.738, micro-seconds, 1
10, quicksort, 1.72, micro-seconds, 1
100, quicksort, 1.733, micro-seconds, 1
1000, quicksort, 1.718, micro-seconds, 1
10000, quicksort, 1.95, micro-seconds, 1
10, quicksort, 1.714, micro-seconds, 1
100, quicksort, 1.716, micro-seconds, 1
1000, quicksort, 1.728, micro-seconds, 1
10000, quicksort, 1.708, micro-seconds, 1
10, quicksort, 1.72, micro-seconds, 1
100, quicksort, 1.736, micro-seconds, 1
1000, quicksort, 1.728, micro-seconds, 1
10000, quicksort, 1.736, micro-seconds, 1
10, quicksort, 1.797, micro-seconds, 1
100, quicksort, 1.806, micro-seconds, 1
1000, quicksort, 1.748, micro-seconds, 1
10000, quicksort, 1.732, micro-seconds, 1
10, quicksort, 1.748, micro-seconds, 1
100, quicksort, 1.733, micro-seconds, 1
1000, quicksort, 1.724, micro-seconds, 1
10000, quicksort, 1.722, micro-seconds, 1
10, quicksort, 1.738, micro-seconds, 1
100, quicksort, 1.732, micro-seconds, 1
1000, quicksort, 1.716, micro-seconds, 1
10000, quicksort, 1.718, micro-seconds, 1
10, quicksort, 1.776, micro-seconds, 1
100, quicksort, 1.724, micro-seconds, 1
1000, quicksort, 1.72, micro-seconds, 1
10000, quicksort, 1.72, micro-seconds, 1
10, quicksort, 1.721, micro-seconds, 1
100, quicksort, 1.772, micro-seconds, 1
1000, quicksort, 1.74, micro-seconds, 1
10000, quicksort, 1.737, micro-seconds, 1
10, quicksort, 1.732, micro-seconds, 1
100, quicksort, 1.72, micro-seconds, 1
1000, quicksort, 1.732, micro-seconds, 1
10000, quicksort, 1.77, micro-seconds, 1
10, quicksort, 1.779, micro-seconds, 1
100, quicksort, 1.73, micro-seconds, 1
1000, quicksort, 1.736, micro-seconds, 1
10000, quicksort, 1.715, micro-seconds, 1
10, quicksort, 1.782, micro-seconds, 1
100, quicksort, 1.774, micro-seconds, 1
1000, quicksort, 1.95, micro-seconds, 1
10000, quicksort, 1.734, micro-seconds, 1
10, quicksort, 1.847, micro-seconds, 1
100, quicksort, 1.839, micro-seconds, 1
1000, quicksort, 1.778, micro-seconds, 1
10000, quicksort, 1.716, micro-seconds, 1
10, quicksort, 1.728, micro-seconds, 1
100, quicksort, 1.74, micro-seconds, 1
1000, quicksort, 1.738, micro-seconds, 1
10000, quicksort, 1.738, micro-seconds, 1
10, quicksort, 1.717, micro-seconds, 1
100, quicksort, 1.74, micro-seconds, 1
1000, quicksort, 1.724, micro-seconds, 1
10000, quicksort, 1.722, micro-seconds, 1
10, quicksort, 1.732, micro-seconds, 1
100, quicksort, 1.952, micro-seconds, 1
1000, quicksort, 1.789, micro-seconds, 1
10000, quicksort, 1.768, micro-seconds, 1
10, quicksort, 1.768, micro-seconds, 1
100, quicksort, 1.717, micro-seconds, 1
1000, quicksort, 1.719, micro-seconds, 1
10000, quicksort, 1.848, micro-seconds, 1
10, quicksort, 1.704, micro-seconds, 1
100, quicksort, 1.862, micro-seconds, 1
1000, quicksort, 1.97, micro-seconds, 1
10000, quicksort, 1.772, micro-seconds, 1
10, quicksort, 1.77, micro-seconds, 1
100, quicksort, 1.74, micro-seconds, 1
1000, quicksort, 1.74, micro-seconds, 1
10000, quicksort, 1.732, micro-seconds, 1
10, quicksort, 1.726, micro-seconds, 1
100, quicksort, 1.744, micro-seconds, 1
1000, quicksort, 1.78, micro-seconds, 1
